Name,Acceptance Criteria,Priority,Related Epic,Requirement ID,Status,Type
Text detection to locate digit region on meter,"- System detects and crops the numeric region of the meter image.
- Cropped region is saved for debugging/audit purposes.
- If detection confidence is below threshold, system asks for re-capture or manual input.",Should,OCR,REQ-011,Draft,Functional
Availability & resilience for core services,"- Core services remain usable if OCR service is temporarily unavailable (graceful degradation).
- System surfaces clear status for OCR failures and allows manual entry.
- Service-to-service timeouts prevent cascading failures.",Should,Platform,REQ-031,Draft,Non-functional
Automated payment reminder notifications,"- Owner can configure reminder schedule (e.g., X days before/after due date).
- System sends reminders only for unpaid invoices.
- Reminder events are logged per invoice.",Could,Notifications,REQ-021,Draft,Functional
Deployment: containerized services via Docker Compose,"- System can be started in a clean environment using Docker Compose.
- Each service (core backend, OCR service, database, cache/queue) has its own container configuration.
- Environment variables are used for secrets and connection strings.",Should,DevOps,REQ-032,Draft,Non-functional
Login & account creation,"- User can create an account with email/phone.
- User can log in and log out.
- Errors are shown for invalid credentials.",Must,Account,REQ-001,Ready,Functional
Tenant maintenance request / ticket system,"- Tenant can create a ticket with category (electric, water, internet, other), description, and optional photos.
- Tenant can see ticket status updates (New, In progress, Resolved).
- Owner can comment internally and change status.",Should,Tenant – Support,REQ-022,Draft,Functional
OCR recognition outputs numeric reading,"- OCR service returns a numeric string reading and a confidence score.
- System rejects non-numeric outputs and requests re-capture or manual entry.
- Reading is stored with timestamp, room, meter type (electric/water), and photo evidence.",Must,OCR,REQ-012,Draft,Functional
Performance – page load time,- Core pages load within 2 seconds on average under expected load.,Should,Platform,REQ-002,Draft,Non-functional
Owner dashboard: revenue and occupancy analytics,"- Owner can view revenue by month/quarter for a selected date range.
- Owner can view occupancy rate over time and current vacant vs occupied counts.
- Dashboard values match invoice and contract data for the same period.",Should,Reporting,REQ-023,Draft,Functional
OCR logic validation vs previous reading (human-in-the-loop),"- System compares current reading to previous reading for the same room and meter type.
- If current < previous, system blocks auto-confirm and prompts for re-capture or manual entry.
- Owner can override with a reason and the system logs the override.",Must,OCR,REQ-013,Draft,Functional
Room status reflects contract lifecycle,"- When a contract is activated, room status becomes Occupied.
- When a contract ends, room status becomes Vacant (unless manually set to Maintenance).
- System prevents creating multiple active contracts for the same room.",Must,Owner – Room Management,REQ-024,Draft,Functional
