Name,Epic,Sprint,Story Point,Assignee,Priority,Status
"Project setup: repo, environments, CI skeleton",Platform,Sprint 1,3,Bảo Đinh,P0,Done
"Define DB schema + migrations (baseline tables, constraints)",Platform / Database,Sprint 1,5,Bảo Đinh,P0,Done
Auth: user registration (email/phone) + identifier normalization,Account,Sprint 1,5,Bảo Đinh,P0,Doing
"Infra: Nginx reverse proxy (TLS termination, routing)",Platform / Infra,Sprint 1,3,Bảo Đinh,P1,Backlog
Security: RBAC guards + owner resource ownership checks,Security,Sprint 1,5,Bảo Đinh,P0,Backlog
Property: CRUD buildings + archive rules,Owner – Room Management,Sprint 1,5,Bảo Đinh,P0,Backlog
Auth: login/logout + refresh token revocation,Account,Sprint 1,5,Bảo Đinh,P0,Backlog
Property: CRUD floors and rooms + unique room code per building,Owner – Room Management,Sprint 1,8,Bảo Đinh,P0,Backlog
Infra: PostgreSQL + Redis provisioning (local docker-compose),Platform / Infra,Sprint 1,3,Bảo Đinh,P1,Backlog
Services: service catalog CRUD (owner scoped),Owner – Pricing,Sprint 2,5,Bảo Đinh,P0,Backlog
Contracts: end contract + update room status (Occupied/Vacant),Owner – Contracts,Sprint 2,5,Bảo Đinh,P0,Backlog
Pricing: create effective-dated room price rule + prevent overlap,Owner – Pricing,Sprint 2,8,Bảo Đinh,P0,Backlog
Meter: create meters for rooms (electric/water),OCR,Sprint 2,3,Bảo Đinh,P1,Backlog
Security: safe error responses (403 without resource existence leak),Security,Sprint 2,3,Bảo Đinh,P1,Backlog
Observability: request-id logging + structured logs (userId when available),Platform,Sprint 2,3,Bảo Đinh,P2,Backlog
Contracts: create contract (room + tenants) + enforce 1 active contract/room,Owner – Contracts,Sprint 2,8,Bảo Đinh,P0,Backlog
NFR: rate limiting for login + lockout policy,Security,Sprint 2,5,Bảo Đinh,P1,Backlog
Security: signed URL service for photos/docs (15 min expiry),Security,Sprint 3,5,Bảo Đinh,P0,Backlog
OCR: validate reading vs previous finalized + block if decreased,OCR,Sprint 3,5,Bảo Đinh,P0,Backlog
OCR service: FastAPI skeleton + POST /ocr/jobs + callback contract,OCR,Sprint 3,5,Bảo Đinh,P0,Backlog
OCR: manual correction/finalize reading + override reason logging,OCR,Sprint 3,5,Bảo Đinh,P0,Backlog
OCR: OCR job orchestration + callback handling (value + confidence),OCR,Sprint 3,8,Bảo Đinh,P0,Backlog
Object storage: integrate upload + signed URL generation (S3-compatible),Platform / Storage,Sprint 3,8,Bảo Đinh,P0,Backlog
Queue: Redis job queue for OCR processing (retry/idempotency),OCR,Sprint 3,5,Bảo Đinh,P1,Backlog
OCR: capture/upload meter photo to object storage + create draft reading,OCR,Sprint 3,8,Bảo Đinh,P0,Backlog
Billing: handle missing readings/invalid sequences → PENDING_CONFIRMATION invoices,Billing & Invoices,Sprint 4,5,Bảo Đinh,P0,Backlog
"Billing: compute invoice line items (rent, electric, water, services)",Billing & Invoices,Sprint 4,8,Bảo Đinh,P0,Backlog
Billing: invoice status workflow (Unpaid/Pending/Paid/Voided) + history,Billing & Invoices,Sprint 4,5,Bảo Đinh,P0,Backlog
Billing: invoice generation (idempotent) for period YYYY-MM,Billing & Invoices,Sprint 4,8,Bảo Đinh,P0,Backlog
Data privacy: tenant cannot access other tenants’ invoices (negative tests),Security,Sprint 5,3,Bảo Đinh,P0,Backlog
Tenant: invoice detail endpoint incl. signed meter photo URLs,Tenant – Billing,Sprint 5,5,Bảo Đinh,P0,Backlog
Tenant: invoice list endpoint + strict contract-based authorization,Tenant – Billing,Sprint 5,5,Bảo Đinh,P0,Backlog
Audit: append-only audit events for critical actions + export API,Platform,Sprint 5,8,Bảo Đinh,P1,Backlog
Testing: integration tests for pricing overlap + invoice idempotency,QA,Sprint 6,8,Bảo Đinh,P1,Backlog
Testing: E2E smoke flow (owner setup → readings → invoice → tenant view),QA,Sprint 6,8,Bảo Đinh,P1,Backlog
